en,msa,tn,eg,jo,pa,sy,prompt,response
possible you return to many books and read judgments of every sheikh in explanation,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: ",من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: ",أوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
"on your face, but when a genius like me stand in a front of an animal like you",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: ",على وجهك، وعندما يكون عبقرى مثلى يقف امامك، وغد مثلك
and tell her  a lot of things about your worrying and problems,و تخبرها عن العديد من مشاكلك و همومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,وتحكيلها حاجات كتير عنك مشاكلك همومك,واحكيلها كل اشي عن مشاكلك وهمومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: ",و تخبرها عن العديد من مشاكلك و همومك
"look my great brother, the expensive not in the Hama",انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يا خويا الغلا موش من السخانة,بوص يااخى الفاضل الغلاء ليس فى الحمه,شوف الغلاء مش في الحمة,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: ",انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم.
"and why would you stay silent for time, talk",و لما الصمت لهذا الزمن تكلمى,علاش تسكت للوقت تكلم,وليه تسكتي للزمن اتكلمي,وليش لتسكتي احكي الي بدك اياه,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: ",و لما الصمت لهذا الزمن تكلمى
Believe me man if I gave up on my right once I will give many times,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,صدقني لو تنازلت مرة رح اتنازل كتير,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: ",أما أن أنا أعتزل عن حقي لمرة سأعتزل عنه كثيراً
"and also the woman, the latest fashion",ايضا ً المرأة و أحدث الأزياء,و زادة المراة و احدث الازياء,وكمان المراه واحدث الازياء,وكمان المراة واجدد الازياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: ",و أحدث الأزياء و المرأة
"in a don't want honey from you, greetings, ""ALA FOULI""","و لا أريد عسل منك تحياتى ""علاء الفولى""",ما نحبش العسل من عندك سلم على الفولي,ولا عاوزه عسل منك سلام علا الفولى,"ما بدي منك عسل , سلام , علا الفولي",وما بدي منك عسل سلام علا الفولى,وما بدو عسل منك سلام على الفول,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لا أريد عسل منك تحياتى ""علاء الفولى""
Source: in a don't want honey from you, greetings, ""ALA FOULI""
Translation: ","و لا أريد عسل منك تحياتى ""علاء الفولى"""
"my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things",يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...,يا ولدي الدكاترة هاذم في كوكب وحدهم مش بتصحيح وإلغاء وتوخير بركة في برشة حاجات أخرى,يا بنى الدكاترة دول فى ملكوت لوحدهم مش بس فى كده لأ فى التصحيح وفى المكرر والملغى والتأخير وحاجات كتير قوى,يا حبيبي هدول الدكاترة عايشين بدنبا لحالهم مش بس هيك لا و بالتصحيح وفي المكرر والملغي والتاخير وكل اشي,يا ابني الدكاتره في عالم لحالهم مش بس في هيك كمان في التصليح وفي المكرر والملغى والتأخير وشغلات كثير,يا أبن الدكاترة هدول في ملكوت لوحدهم مو بس في هيك لأفي التصحيح وفي المكرر والملغي والتأخير شغلات كتير كتير,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...
Source: my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things
Translation: ",يا ابني هؤلاء الدكاترة يعيشون في ملكوتهم الخاص ولا هذا كل شئ و لكن في عمليه التصحيح والمكرر والتأخير واشياء كثيره مثل ذلك والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثلية والمثل
and then,أما بعد,اما بعد,اما بعد,وبعد هيك,اما بعد,وبعدين,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أما بعد
Source: and then
Translation: ","و ثم
في البعد"
we shouldn't be negative all the times,لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,لازم مانكنوش سلبيين برشة و ديما,لازم منكش سلبيين على طول الخط وضربينها طبنجه,لازم ما كنا سلبيين طول الوقت,مش لازم نكون سلبيين دايما وضاربينها بعرض الحيط,لازم ما نكون سلبين على طول ونضربها بسكينة,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .
Source: we shouldn't be negative all the times
Translation: ",لا يجب ان نكون بهذه السلبيه على طول الدوام
So that he won't lose you over it.,حتي لا يخسرك بسبب ذلك,باش ما يخسركش بسبب ذلك,حتي لا يخسرك بسبب ذلك,مشان ما يخسرك بسبب هداك الاشي,حتى ما يخسرك لهالسبب,حتى لا يخسرك بسبب هالشي,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حتي لا يخسرك بسبب ذلك
Source: So that he won't lose you over it.
Translation: ",لأن يكون لا يخسرك بسبب ذلك
"Even if it on my head, not everyone can keep it down.",لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....,ولوعه وأسى ... وموش أي واحد ينجم يخبيه ...,ولوعه وأسى ... ومش أى حد بيقدر يكتمه ...,ولوعة وحزن ... مش اي حد بقدر يخبيه,ولوعه وحزن ..ومش اي حدا بقدر يكتمه..,وشوق وأسى .... ومو أي حدا بيقدر يخبيه .....,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....
Source: Even if it on my head, not everyone can keep it down.
Translation: ",لوعه وأسى... ولا يوجد احد يستطيع أن يكتمه....
"but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject",برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,اما ياريت يا جماعة الردود ماتكونش مشجعة اكهو لازم تكون زادة ردود فيهااضافة جديدة او معلومة جديدة متعلقة بالموضوع,بس ياريت يا جماعة الردود متنكنش بس مشجعة كمان تكون ردود تحتوي على اضافه جديدة او معلومة جديدة متعلقة بالموضوع,يا جماعة ما تخلو الردود بس مشجعة خلوها كمان اضافة جديدة ومتعلقة بالموضوع,يا ريت الردود ما تكون بس تشجيع بتمنى تكون تحتوي على اضافه او معلومه مهمه متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
Source: but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject
Translation: ",وأريد أن شاء الله أن لدي أهلكم أن يكونوا أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
god help the Muslims and Islam,ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: ",ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
"actually he reminds me about the Brazilian legend ""Beleeh"" .",بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة إفكرني ببيلي الاسطورة البرازيلي,الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: ",بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
that is rapping the entire body of woman,يغتصب جسم المرأه كله,يعني يغتصب بدن لمراء الكل,يعنى بيغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأة,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: ",يغتصب جسم المرأه كله
Habhoob.,هبهههوب,هبهههوب,هبهههوب,هبهووووب,هيهههوب,هبههههههههههههههههههههههوب,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هبهههوب
Source: Habhoob.
Translation: ",هبهههوب.
Computer?,كمبيوتر ؟,ارديناتور؟,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: ",كمبيوتر ؟
I`m wondering what's the most thing that bothered you and affected your life,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,شو اكتر اشي دايقك واثر على حياتك,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: ",أنا أتاكل ما هو أكثر شئ يؤلمك وأثر على حياتك؟
Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: ",سيدي، أحفظ أنا أحدث الأمرية وأحفظت عنها تخرج وتحرم ثوبها، وأحفظ أطفالها لتتعلمون اسم النبي والحديث حتى كان جهاتي مريحة.
then you are asking i am asking about what they are doing so,ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا,ومبعد تسألني شبيهم يعملوا هكا,وبعدين إنتا بتسألنى أنا متسأل الى بيعملوا كده,"انت بتسألني انا ليش , اسال الي بعملو هيك",وبعدين ليش بتيال فيي اسال اللي بسووا هيك,وبعدين أنت ليش عم تسألني أسأل الي عم يعملو هيك,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
Source: then you are asking i am asking about what they are doing so
Translation: ",ثم انت تسألنى و انا الذى اسال لماذا يفعلوا هكذا
isn't there any body to do me a favor and kidnap me too!!,هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!,حد ما يكسب فيا ثواب و يخطفني انا زادة,ماحدش يكسب فيا ثواب ويخطفني انا كمان !!,يا ريت حد يخطفني ويكسب فيا ثواب,الحكاية بطيخ خالص ..,ما حدا بدو يكسب فيها ثواب ويخطفي أنا كمان !!!!!,"<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً !!
Source: isn't there any body to do me a favor and kidnap me too!!
Translation: ",هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً!!هل يوجد احد يعمل بى معروف ويخطفنى أنا أيضا ً!!
