en,msa,tn,eg,jo,pa,sy,prompt,response
you know what pisses me the most?,هل تعرف ماذا يضايقنى كثيرا ؟؟,تعرف شنوى اللي غايظني أكثر ؟,عارفه إيه اللى غايظنى أكتر ؟,عارفة شو اكتر اشي غايظني,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أنا لا اعرف هل تتذكرينى ام لا ؟؟
Source: I don't know if you remember me or not
Translation: <|im_end|>
<|im_start|>assistant
انا ما نعرفش انت تفكرتني ولالا<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يا أستاذ الأستاذ اجلس  يا بنى فأنت لا تعرف شيئاً
Source: Teacher teacher, set son you don't know a thing
Translation: <|im_end|>
<|im_start|>assistant
و الاستاذ استاذ اقعد يا ولدي انت ما تعرف شئ<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: <|im_end|>
","
هل تعرف شو كايبغيكش ؟؟"
and from the point of view of boys who take the subject as just a waste of time not something else,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,وحسب الشباب الموضوع مضيعة للوقت و اكهو,و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.العرض  من الامر. وظيفه  محترمه  تعنى  محل  للسكن  وسياره
Source: But the story of a respectful job means a flat and a car
Translation: <|im_end|>
<|im_start|>assistant
وشكون قال أن الوظيفة الباهية هي دار وكرهبة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولا من الظلم والقهر الذى تتجرعه يومياً فى كؤوس المرار جعلنى أكره هذه البلد
Source: Or did the injustice and subjugation I suffer daily with bitterness made me hate this country?
Translation: <|im_end|>
<|im_start|>assistant
من الظلم و القهر اللي نرى فيه يوميا ضقت المرار خلاني كرهت البلاد هذي<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: <|im_end|>
",من وجهة نظر هؤلاء الشباب اللي يرون الأمر كأنه مجرد تسلية و لا شيء تاني
possible you return to many books and read judgments of every sheikh in explanation,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كل الأحداث تتوالى بسرعة .. أرفع درجة الأستعداد يا شوشو .. تصحبك اللعنة
Source: every thing on his ear..rise the preparing level shosho...damn be with you
Translation: <|im_end|>
<|im_start|>assistant
الكلكم على وذنيكم..هز درجة الإستعداد يا شوشو..تلصقك اللعنة<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يقول ماذا الذى تفعله هذا قال له وجدتك تحاول ان تفكها ففعلت ذلك بدلا منك
Source: he ask him what you are did ? he said i find you turn it around so i cut it to let you rest
Translation: <|im_end|>
<|im_start|>assistant
يقول إنت شنوى إللي عملتوا قال لقيتك تحبها هازيتها باش ما تتعبش<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: <|im_end|>
","
يمكنك تعود لكتب كتير و تقرأ إعتقاد كل شيخ فالتفسير"
oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.جزاك الله كل الخير وان شاء الله القي موافقه د عايده ان كانت ستقوم جاهده بتولي الامر وجزاها الله وجزاك كل الخير
Source: May Allah reward you well , and god willing i will Dr. Ayda will agree if she was going to do this , and may god reward both her and you
Translation: <|im_end|>
<|im_start|>assistant
جزاك الله كل الخير وان شاء الله نلقي موافقه من عايده اذا باش تتولى الامر وجزاها الله وجزاك كل الخير<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.نحن نكتبها و لكن هذا لا يعنى ان يوجد موضوع اسمه عرف نفسك وكل مشترك جديد بالمنتدى يعطينا و ول مجرد نبذه صغيره عن نفسه
Source: We write it, but that doesn't mean there shouldn't be a topic called introduce yourself and every new member of the forum can give us even a little introduction about himself.
Translation: <|im_end|>
<|im_start|>assistant
نكتبوها اما هذا ما يمنعش ان يقعد موضوع اسمو عرف نفسك و كل مشترك جديد بالمنتدى يحكيلنا شوية على روحو<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: <|im_end|>
",اوه بالتأكيد علاء بسببه ده حق لكن إذا كنت مشجع كرة قدم تعرفي أنه جرح بشدة وسيغيب شهر وستنخفض مستواه بلاشك
"on your face, but when a genius like me stand in a front of an animal like you",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لكن ربما يمكننى قول لا يفقد الثقة بالله
Source: But maybe I would say that he won't lose trust in god
Translation: <|im_end|>
<|im_start|>assistant
اما يمكن نقول انو ما يفقدش الثقة بالله<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يجب إقناع أى أحد مختلف معك انه مخطىء و انت قولك سليم
Source: you have to persuade any one opposing you that he is wrong and you are right
Translation: <|im_end|>
<|im_start|>assistant
لازم تقنع اي واحد معاك انو غالط و انت الصحيح<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: <|im_end|>
","
على وجهك، لكن عندما يقف عبقري مثلّي أمام وغد مثلك"
and tell her  a lot of things about your worrying and problems,و تخبرها عن العديد من مشاكلك و همومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,وتحكيلها حاجات كتير عنك مشاكلك همومك,واحكيلها كل اشي عن مشاكلك وهمومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و هناك مواد  خام مثل الخشب و الطين و القمح
Source: and there are the raw materials , like Wood , clay and wheat
Translation: <|im_end|>
<|im_start|>assistant
وفما المواد الخام واللي هي اللوح والطين والقمح<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.رؤيتك تكفيني وليس هناك من هو على يقين كم سيحيا
Source: as it is enough for me to see you and no one is certain about how long he will live
Translation: <|im_end|>
<|im_start|>assistant
يزيني نحب نشوفك حد ما ضامن عمرو<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: <|im_end|>
","
اخبرها بلي كتير عن مشاكلك و همومك"
"look my great brother, the expensive not in the Hama",انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يا خويا الغلا موش من السخانة,بوص يااخى الفاضل الغلاء ليس فى الحمه,شوف الغلاء مش في الحمة,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.فى انتظار ارائكم
Source: waiting your opinions
Translation: <|im_end|>
<|im_start|>assistant
نستناو اراءكم<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و معتقدين ان الغرب هو الاشياء الاباحية فقط و لكن أنظروا الى علم الكيمياء
Source: and they think the west is just porno! but look at the chemicalist
Translation: <|im_end|>
<|im_start|>assistant
وفاكرين الغرب بورنو بس ينظر عالم الكيمياء<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: <|im_end|>
","
ناظر يا اخو الفاضل الغلاء ما فيةش فالسوق."
"and why would you stay silent for time, talk",و لما الصمت لهذا الزمن تكلمى,علاش تسكت للوقت تكلم,وليه تسكتي للزمن اتكلمي,وليش لتسكتي احكي الي بدك اياه,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أتمنى من الرب يا أمة الله ان لا تخرج الجوائز
Source: But I hope from God , O Amat Allah  the prizes are not
Translation: <|im_end|>
<|im_start|>assistant
اما يا ربي يا امة الله ما تطلعش فما جوائز<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ولا تذكرى المشكلة فى المذكرات
Source: don't think the problem is in the diaries
Translation: <|im_end|>
<|im_start|>assistant
و ماتقولش المشكلة في المذكرات<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: <|im_end|>
","
و لما الصمت دي لوقت ما تكلمي"
Believe me man if I gave up on my right once I will give many times,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,صدقني لو تنازلت مرة رح اتنازل كتير,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.مثلاً أنتى لن تعرفى هذا التعبان ولن تهتمى به خلاصة القول الفضفضة
Source: For example you won't know this tired man and won't care! In conclusion, let it out
Translation: <|im_end|>
<|im_start|>assistant
مثال ماكش باش تعرف الراجل التاعب و ما يهمكش فيه في النهاية خليوه<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تكره هذا لأنه ليس بالأمر حيث إنها تكون شىء لا ارادى
Source: and hate that , because this can't be forced , this is uncontrolled
Translation: <|im_end|>
<|im_start|>assistant
و تكره هذا على خاطرو ماهوش بالامر تولي حاجة لا ارادية فوق طاقتك<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: <|im_end|>
",صدقني يا سيدي إذا تنازلتي عن حقك مره سأتنازل كثيرا
"and also the woman, the latest fashion",ايضا ً المرأة و أحدث الأزياء,و زادة المراة و احدث الازياء,وكمان المراه واحدث الازياء,وكمان المراة واجدد الازياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و يقول المعذرة أريد ماء و لكن السيد سيقول أحضرى لى الماء
Source: then he will say if you please i want water, but the mister will say bring me water
Translation: <|im_end|>
<|im_start|>assistant
باش يقلك من فضلك نحب ماء اما السيد باش يقلك جيبلي الماء<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و كل الاشياء التى حدثت فى الفيديو
Source: all reasonings that occured in the clip
Translation: <|im_end|>
<|im_start|>assistant
والحاجات الكل إلي صارت في الكليب<|im_end|>
<|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: <|im_end|>
","
والمرأة وآخر أزياء جديد"
