en,msa,tn,eg,jo,pa,sy,prompt,response
and tell her  a lot of things about your worrying and problems,و تخبرها عن العديد من مشاكلك و همومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,وتحكيلها حاجات كتير عنك مشاكلك همومك,واحكيلها كل اشي عن مشاكلك وهمومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: <|im_end|>
",://tell her about your many worries and concerns
"look my great brother, the expensive not in the Hama",انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يا خويا الغلا موش من السخانة,بوص يااخى الفاضل الغلاء ليس فى الحمه,شوف الغلاء مش في الحمة,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: <|im_end|>
","://Look, my dear brother, the expensive is not in the meat."
"and why would you stay silent for time, talk",و لما الصمت لهذا الزمن تكلمى,علاش تسكت للوقت تكلم,وليه تسكتي للزمن اتكلمي,وليش لتسكتي احكي الي بدك اياه,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: <|im_end|>
","
و لما الصمت لهذا الزمن تكلمى
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلمى
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن تكلم
و لما الصمت لهذا الزمن"
Believe me man if I gave up on my right once I will give many times,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,صدقني لو تنازلت مرة رح اتنازل كتير,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: <|im_end|>
","Believe me, my lord, if I give up on my right once, I will give up many times."
"and also the woman, the latest fashion",ايضا ً المرأة و أحدث الأزياء,و زادة المراة و احدث الازياء,وكمان المراه واحدث الازياء,وكمان المراة واجدد الازياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: <|im_end|>
","://also the woman, the latest fashion"
"in a don't want honey from you, greetings, ""ALA FOULI""","و لا أريد عسل منك تحياتى ""علاء الفولى""",ما نحبش العسل من عندك سلم على الفولي,ولا عاوزه عسل منك سلام علا الفولى,"ما بدي منك عسل , سلام , علا الفولي",وما بدي منك عسل سلام علا الفولى,وما بدو عسل منك سلام على الفول,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.و لا أريد عسل منك تحياتى ""علاء الفولى""
Source: in a don't want honey from you, greetings, ""ALA FOULI""
Translation: <|im_end|>
",":// I don't want honey from you, greetings, ""Ala Fawli"""
"my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things",يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...,يا ولدي الدكاترة هاذم في كوكب وحدهم مش بتصحيح وإلغاء وتوخير بركة في برشة حاجات أخرى,يا بنى الدكاترة دول فى ملكوت لوحدهم مش بس فى كده لأ فى التصحيح وفى المكرر والملغى والتأخير وحاجات كتير قوى,يا حبيبي هدول الدكاترة عايشين بدنبا لحالهم مش بس هيك لا و بالتصحيح وفي المكرر والملغي والتاخير وكل اشي,يا ابني الدكاتره في عالم لحالهم مش بس في هيك كمان في التصليح وفي المكرر والملغى والتأخير وشغلات كثير,يا أبن الدكاترة هدول في ملكوت لوحدهم مو بس في هيك لأفي التصحيح وفي المكرر والملغي والتأخير شغلات كتير كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...
Source: my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things
Translation: <|im_end|>
","My son, these doctors live in their own world. It's not all that simple. There is a process of correction, repetition, delay, and many other things like that."
and then,أما بعد,اما بعد,اما بعد,وبعد هيك,اما بعد,وبعدين,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.أما بعد
Source: and then
Translation: <|im_end|>
","://
Source: وبالنهاية
Translation:  end of the matter"
we shouldn't be negative all the times,لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,لازم مانكنوش سلبيين برشة و ديما,لازم منكش سلبيين على طول الخط وضربينها طبنجه,لازم ما كنا سلبيين طول الوقت,مش لازم نكون سلبيين دايما وضاربينها بعرض الحيط,لازم ما نكون سلبين على طول ونضربها بسكينة,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .
Source: we shouldn't be negative all the times
Translation: <|im_end|>
",://لا يجب أن نكون سلبيين طوال الوقت.
So that he won't lose you over it.,حتي لا يخسرك بسبب ذلك,باش ما يخسركش بسبب ذلك,حتي لا يخسرك بسبب ذلك,مشان ما يخسرك بسبب هداك الاشي,حتى ما يخسرك لهالسبب,حتى لا يخسرك بسبب هالشي,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.حتي لا يخسرك بسبب ذلك
Source: So that he won't lose you over it.
Translation: <|im_end|>
","
حتى لا يفقدك بسبب ذلك"
"Even if it on my head, not everyone can keep it down.",لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....,ولوعه وأسى ... وموش أي واحد ينجم يخبيه ...,ولوعه وأسى ... ومش أى حد بيقدر يكتمه ...,ولوعة وحزن ... مش اي حد بقدر يخبيه,ولوعه وحزن ..ومش اي حدا بقدر يكتمه..,وشوق وأسى .... ومو أي حدا بيقدر يخبيه .....,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....
Source: Even if it on my head, not everyone can keep it down.
Translation: <|im_end|>
","
Even if it's on my head, no one can keep it down."
"but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject",برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,اما ياريت يا جماعة الردود ماتكونش مشجعة اكهو لازم تكون زادة ردود فيهااضافة جديدة او معلومة جديدة متعلقة بالموضوع,بس ياريت يا جماعة الردود متنكنش بس مشجعة كمان تكون ردود تحتوي على اضافه جديدة او معلومة جديدة متعلقة بالموضوع,يا جماعة ما تخلو الردود بس مشجعة خلوها كمان اضافة جديدة ومتعلقة بالموضوع,يا ريت الردود ما تكون بس تشجيع بتمنى تكون تحتوي على اضافه او معلومه مهمه متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
Source: but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject
Translation: <|im_end|>
",Please everyone's contributions are not only motivating but also contain new information or new information related to the topic.
god help the Muslims and Islam,ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: <|im_end|>
","://Our Lord, help Islam and the Muslims, may God reward you with the best."
"actually he reminds me about the Brazilian legend ""Beleeh"" .",بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة إفكرني ببيلي الاسطورة البرازيلي,الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: <|im_end|>
","Actually, he reminds me of the Brazilian legend ""Beleeh""."
that is rapping the entire body of woman,يغتصب جسم المرأه كله,يعني يغتصب بدن لمراء الكل,يعنى بيغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأة,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: <|im_end|>
",://تحرش الجسد بأكمله للنساء
Habhoob.,هبهههوب,هبهههوب,هبهههوب,هبهووووب,هيهههوب,هبههههههههههههههههههههههوب,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.هبهههوب
Source: Habhoob.
Translation: <|im_end|>
","
Habhoob."
Computer?,كمبيوتر ؟,ارديناتور؟,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: <|im_end|>
","
Computer?"
I`m wondering what's the most thing that bothered you and affected your life,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,شو اكتر اشي دايقك واثر على حياتك,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: <|im_end|>
","
What bothers you the most and affects your life?"
Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,"<|begin_of_text|><|im_start|>user
Translate the following source text from MSA to TN. Only return the TN translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: <|im_end|>
","Mr, I often tighten the noose on my wife and deprive her of going out and wearing dresses. My only concern is to save my children by teaching them the names of the Companions and the Hadiths."
