eg,en,jo,msa,pa,sy,tn,prompt,response
عارفه إيه اللى غايظنى أكتر ؟,you know what pisses me the most?,عارفة شو اكتر اشي غايظني,هل تعرف ماذا يضايقنى كثيرا ؟؟,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,تعرف شنوى اللي غايظني أكثر ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أنا لا اعرف هل تتذكرينى ام لا ؟؟
Source: I don't know if you remember me or not
Translation: <|im_end|>
<|im_start|>assistant
انا ما نعرفش انت تفكرتني ولالا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: <|im_end|>
","
تعرفش شو بيغيّرني كتير؟"
و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,and from the point of view of boys who take the subject as just a waste of time not something else,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,وحسب الشباب الموضوع مضيعة للوقت و اكهو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.العرض  من الامر. وظيفه  محترمه  تعنى  محل  للسكن  وسياره
Source: But the story of a respectful job means a flat and a car
Translation: <|im_end|>
<|im_start|>assistant
وشكون قال أن الوظيفة الباهية هي دار وكرهبة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: <|im_end|>
","
ومن وجه نظر هؤلاء الشباب الذين يرون الأمر كأنه مجرد تسلية وليس شيئًا آخر"
ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,possible you return to many books and read judgments of every sheikh in explanation,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كل الأحداث تتوالى بسرعة .. أرفع درجة الأستعداد يا شوشو .. تصحبك اللعنة
Source: every thing on his ear..rise the preparing level shosho...damn be with you
Translation: <|im_end|>
<|im_start|>assistant
الكلكم على وذنيكم..هز درجة الإستعداد يا شوشو..تلصقك اللعنة<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: <|im_end|>
","
يمكنك العودة إلى الكثير من الكتب و قراءة إجتهاد كل شيخ في التفسير"
اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.جزاك الله كل الخير وان شاء الله القي موافقه د عايده ان كانت ستقوم جاهده بتولي الامر وجزاها الله وجزاك كل الخير
Source: May Allah reward you well , and god willing i will Dr. Ayda will agree if she was going to do this , and may god reward both her and you
Translation: <|im_end|>
<|im_start|>assistant
جزاك الله كل الخير وان شاء الله نلقي موافقه من عايده اذا باش تتولى الامر وجزاها الله وجزاك كل الخير<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: <|im_end|>
",اوه بالتأكيد علاء يستحق ذلك لكن إذا كنت من محبي الكرة القدم كنت تعرف أنه قد جرح بشدة وسيتعلم لمدة شهر ولذلك ستتناقص مستواه بشكل كبير
على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"on your face, but when a genius like me stand in a front of an animal like you","تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لكن ربما يمكننى قول لا يفقد الثقة بالله
Source: But maybe I would say that he won't lose trust in god
Translation: <|im_end|>
<|im_start|>assistant
اما يمكن نقول انو ما يفقدش الثقة بالله<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: <|im_end|>
","
على وجهك، لكن عندما يكون عبقري مثل أنا يقف أمام وحش مثلك"
وتحكيلها حاجات كتير عنك مشاكلك همومك,and tell her  a lot of things about your worrying and problems,واحكيلها كل اشي عن مشاكلك وهمومك,و تخبرها عن العديد من مشاكلك و همومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و هناك مواد  خام مثل الخشب و الطين و القمح
Source: and there are the raw materials , like Wood , clay and wheat
Translation: <|im_end|>
<|im_start|>assistant
وفما المواد الخام واللي هي اللوح والطين والقمح<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: <|im_end|>
","
اخبرها عن الكتير من مشاكلك و همومك"
بوص يااخى الفاضل الغلاء ليس فى الحمه,"look my great brother, the expensive not in the Hama",شوف الغلاء مش في الحمة,انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,شوف يا خويا الغلا موش من السخانة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.فى انتظار ارائكم
Source: waiting your opinions
Translation: <|im_end|>
<|im_start|>assistant
نستناو اراءكم<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: <|im_end|>
","
ناظر يا اخي الفاضل الغالي، المرتفع ليس في لحم."
وليه تسكتي للزمن اتكلمي,"and why would you stay silent for time, talk",وليش لتسكتي احكي الي بدك اياه,و لما الصمت لهذا الزمن تكلمى,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,علاش تسكت للوقت تكلم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أتمنى من الرب يا أمة الله ان لا تخرج الجوائز
Source: But I hope from God , O Amat Allah  the prizes are not
Translation: <|im_end|>
<|im_start|>assistant
اما يا ربي يا امة الله ما تطلعش فما جوائز<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: <|im_end|>
","
و لما الصمت لهذا الزمن تكلمي"
صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,Believe me man if I gave up on my right once I will give many times,صدقني لو تنازلت مرة رح اتنازل كتير,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مثلاً أنتى لن تعرفى هذا التعبان ولن تهتمى به خلاصة القول الفضفضة
Source: For example you won't know this tired man and won't care! In conclusion, let it out
Translation: <|im_end|>
<|im_start|>assistant
مثال ماكش باش تعرف الراجل التاعب و ما يهمكش فيه في النهاية خليوه<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: <|im_end|>
","
صدقني يا سيدي إذا تنازلتنى عن حقى مره سأتنازل كتير"
وكمان المراه واحدث الازياء,"and also the woman, the latest fashion",وكمان المراة واجدد الازياء,ايضا ً المرأة و أحدث الأزياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,و زادة المراة و احدث الازياء,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و يقول المعذرة أريد ماء و لكن السيد سيقول أحضرى لى الماء
Source: then he will say if you please i want water, but the mister will say bring me water
Translation: <|im_end|>
<|im_start|>assistant
باش يقلك من فضلك نحب ماء اما السيد باش يقلك جيبلي الماء<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: <|im_end|>
","
و المرأة و أحدث الأزياء"
ولا عاوزه عسل منك سلام علا الفولى,"in a don't want honey from you, greetings, ""ALA FOULI""","ما بدي منك عسل , سلام , علا الفولي","و لا أريد عسل منك تحياتى ""علاء الفولى""",وما بدي منك عسل سلام علا الفولى,وما بدو عسل منك سلام على الفول,ما نحبش العسل من عندك سلم على الفولي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.الشىء المهم أن العالم اليوم سيكون أحمر فى أحمر و فوضى
Source: the important is all world today will be red in red and chaos
Translation: <|im_end|>
<|im_start|>assistant
المهم الدنيا الكل اليوم بش تولي احمر في احمر و شيخة عدا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لا أريد عسل منك تحياتى ""علاء الفولى""
Source: in a don't want honey from you, greetings, ""ALA FOULI""
Translation: <|im_end|>
","
و ما بديعسل منك تحياتى علاء الفولى"
يا بنى الدكاترة دول فى ملكوت لوحدهم مش بس فى كده لأ فى التصحيح وفى المكرر والملغى والتأخير وحاجات كتير قوى,"my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things",يا حبيبي هدول الدكاترة عايشين بدنبا لحالهم مش بس هيك لا و بالتصحيح وفي المكرر والملغي والتاخير وكل اشي,يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...,يا ابني الدكاتره في عالم لحالهم مش بس في هيك كمان في التصليح وفي المكرر والملغى والتأخير وشغلات كثير,يا أبن الدكاترة هدول في ملكوت لوحدهم مو بس في هيك لأفي التصحيح وفي المكرر والملغي والتأخير شغلات كتير كتير,يا ولدي الدكاترة هاذم في كوكب وحدهم مش بتصحيح وإلغاء وتوخير بركة في برشة حاجات أخرى,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أخبرتنى أنه يوجد شيناً ما يمكن أن يتم عمله للشخص عندما يخطب تحميه من السحر و ما إلى ذلك
Source: She said that there's something that can be done to the person when he's engaged that protects from magic and such
Translation: <|im_end|>
<|im_start|>assistant
قالت فما حاجة مانعرفش شنوا بالضبط تنجم تتعمل للعبد كيخطب بش تحميه مالسحر والكلام هذا<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...
Source: my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things
Translation: <|im_end|>
",يا بنى هؤلاء الدكاتره يعيشوا فمملكتهم الخاصه، ما هى كل شىء.ولكن فعملية التصحيح والمكرر والتأخير وشيء كتير مثل ذلك...
اما بعد,and then,وبعد هيك,أما بعد,اما بعد,وبعدين,اما بعد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بسم الله ماشاءالله
Source: in the name of God, it is God's well
Translation: <|im_end|>
<|im_start|>assistant
بسم الله ماشاءالله<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أما بعد
Source: and then
Translation: <|im_end|>
","
أما بعد"
لازم منكش سلبيين على طول الخط وضربينها طبنجه,we shouldn't be negative all the times,لازم ما كنا سلبيين طول الوقت,لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,مش لازم نكون سلبيين دايما وضاربينها بعرض الحيط,لازم ما نكون سلبين على طول ونضربها بسكينة,لازم مانكنوش سلبيين برشة و ديما,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لماذا يا وائل شعبنا طيب و عظيم ولكن
Source: Why Wael our nation is good and great but ...
Translation: <|im_end|>
<|im_start|>assistant
علاش ياوائل هكا شعبنا طيب وعظيم اما...<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .
Source: we shouldn't be negative all the times
Translation: <|im_end|>
","
ما يجب أن نكون سلبيين دائما"
حتي لا يخسرك بسبب ذلك,So that he won't lose you over it.,مشان ما يخسرك بسبب هداك الاشي,حتي لا يخسرك بسبب ذلك,حتى ما يخسرك لهالسبب,حتى لا يخسرك بسبب هالشي,باش ما يخسركش بسبب ذلك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.مباشرة ولم يخضع لرقابتك
Source: directly and didn't pass by your censorship
Translation: <|im_end|>
<|im_start|>assistant
شبيك ديما تعس علي<|im_end|>
<|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتي لا يخسرك بسبب ذلك
Source: So that he won't lose you over it.
Translation: <|im_end|>
","
لأنه يخسرك بسببه"
