hin,gom,mar,eng,__index_level_0__,prompt,response
"और अधिक साम्यता लाने की कोशिश में, मैं मैट की दर को बही लाभ के 10 प्रतिशत की वर्तमान दर से बढ़ा कर 15 प्रतिशत करने का प्रस्ताव देता हूँ।","चड समानताय येवची ह्या हावेसान, हांव एम.ए.टी. चो सध्याचो दर खातेवहेंतल्या फायद्याच्या 10 टक्के आसा तो 15 टक्के मेरेन वाडोवचो अशें मागतां.","अधिक समानता आणण्याच्या दृष्टीने, मॅटचा दर सध्याच्या १० टक्क्यांवरून हिशेबपुस्तकांतील नफ्याच्या १५ टक्क्यांपर्यंत वाढवण्याचा प्रस्ताव मी मांडतो.","In the quest for greater equity, I propose to increase the rate of MAT to 15 percent of book profits from the present rate of 10 percent.",216,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.और अधिक साम्यता लाने की कोशिश में, मैं मैट की दर को बही लाभ के 10 प्रतिशत की वर्तमान दर से बढ़ा कर 15 प्रतिशत करने का प्रस्ताव देता हूँ।
Source: अधिक समानता आणण्याच्या दृष्टीने, मॅटचा दर सध्याच्या १० टक्क्यांवरून हिशेबपुस्तकांतील नफ्याच्या १५ टक्क्यांपर्यंत वाढवण्याचा प्रस्ताव मी मांडतो.
Translation: <|im_end|>
","://In order to increase more equality, I propose to increase the rate of mat by 5 percentage points from the current rate of 10 percent to 15 percent in the ledger profit."
पासपोर्ट केन्द्रों में पासपोर्ट आवेदन जमा करने के लिए समयादेश ऑनलाइन प्राप्त करने की प्रक्रिया को सरल बना दिया गया है।,पासपोर्ट केंद्रांचेर पासपोर्टाचे अर्ज दिवपाक ऑनलायन वेळ घेवप आतां सोंपें केलां.,पारपत्र केंद्रांवर पारपत्र अर्ज सादर करण्यासाठी भेट ठरविण्याची ऑनलाइन प्रक्रिया सुलभ करण्यात आली आहे.,Securing online appointments for submission of passport applications at Passport Kendras has been simplified.,217,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.पासपोर्ट केन्द्रों में पासपोर्ट आवेदन जमा करने के लिए समयादेश ऑनलाइन प्राप्त करने की प्रक्रिया को सरल बना दिया गया है।
Source: पारपत्र केंद्रांवर पारपत्र अर्ज सादर करण्यासाठी भेट ठरविण्याची ऑनलाइन प्रक्रिया सुलभ करण्यात आली आहे.
Translation: <|im_end|>
",://The process of obtaining online appointment for submitting passport applications at passport centers has been simplified.
महिलाओं में निरक्षरता को तीन वर्षों में वर्तमान स्तर से उसके आधे पर लाने का लक्ष्य है।,फुडल्या तीन वर्सांनी बायलांची निरक्षरतायेची सध्याची पातळी अर्दार हाडप ही मोख आसा.,"महिला निरक्षरतेचे सध्याचे प्रमाण तीन वर्षांत अर्ध्याने कमी करणे, हे त्याचे उद्दिष्ट असेल.",The aim will be to reduce by half the current level of female illiteracy in three years.,230,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.महिलाओं में निरक्षरता को तीन वर्षों में वर्तमान स्तर से उसके आधे पर लाने का लक्ष्य है।
Source: महिला निरक्षरतेचे सध्याचे प्रमाण तीन वर्षांत अर्ध्याने कमी करणे, हे त्याचे उद्दिष्ट असेल.
Translation: <|im_end|>
",://The goal is to reduce illiteracy among women to half of the current level in three years.
ऐसा इसलिए है क्योंकि वृद्धि आनुवांशिक और परिवेशी दोनों ही कारकों से प्रभावित होती है।,हाचें कारण म्हणल्यार जननशास्त्रीय आनी पर्यावरणीय अश्या दोनूय कारणांचो वाडीचेर परिणाम जाता.,"याचे कारण म्हणजे, वाढीवर आनुवांशिक आणि पर्यावरणीय या दोन्ही घटकांचा परिणाम होत असतो.",This is because growth is affected by both genetic and environmental factors.,240,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.ऐसा इसलिए है क्योंकि वृद्धि आनुवांशिक और परिवेशी दोनों ही कारकों से प्रभावित होती है।
Source: याचे कारण म्हणजे, वाढीवर आनुवांशिक आणि पर्यावरणीय या दोन्ही घटकांचा परिणाम होत असतो.
Translation: <|im_end|>
",:// So it is because growth is affected by both genetic and environmental factors.
"खाद्य उत्पादन, अर्थ व्यवस्था और सुरक्षा पर रोगाणुरोधी प्रतिरोध के प्रभावों के कारण, इसे स्वास्थ्य, राष्ट्रीय सुरक्षा और अर्थ व्यवस्था के लिए भी खतरा माना जाता है।","अन्नाचें उत्पादन, अर्थवेवस्था आनी सुरक्षा हाचेर जाल्ल्या परिणामांक लागून सुक्ष्मजिवीरोधी प्रतिबंध भलायकी, राष्ट्रीय सुरक्षा आनी अर्थवेवस्थेक धोक्याचो मानतात.","प्रतिसूक्ष्मजीवी अवरोधाचे अन्न उत्पादन, अर्थव्यवस्था आणि सुरक्षा, यावरील परिणाम पाहता, आरोग्य, राष्ट्रीय सुरक्षा आणि अर्थव्यवस्थेसाठी तोही एक धोका मानला जातो.","Because of its effect on food production, economy and security, antimicrobial resistance is also considered a threat to health, national security and the economy.",241,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.खाद्य उत्पादन, अर्थ व्यवस्था और सुरक्षा पर रोगाणुरोधी प्रतिरोध के प्रभावों के कारण, इसे स्वास्थ्य, राष्ट्रीय सुरक्षा और अर्थ व्यवस्था के लिए भी खतरा माना जाता है।
Source: प्रतिसूक्ष्मजीवी अवरोधाचे अन्न उत्पादन, अर्थव्यवस्था आणि सुरक्षा, यावरील परिणाम पाहता, आरोग्य, राष्ट्रीय सुरक्षा आणि अर्थव्यवस्थेसाठी तोही एक धोका मानला जातो.
Translation: <|im_end|>
","Due to the effects of antibiotic resistance on food production, economy, and security, it is also considered a threat to health, national security, and the economy."
"लगभग 2500 ईसा पूर्व में लिखी गई चरकसंहिता और सुश्रुतसंहिता, वर्तमान में आयुर्वेद के पूर्ण रूप से उपलब्ध मुख्य आलेख हैं।","क्रि.पू. 2500 च्या सुमाराक विकसीत केल्ल्यो, चरक संहिता आनी सुश्रुत संहिता, हे आयुर्वेदाचे मुखेल संशोधनात्मक ग्रंथ आयज पूर्ण स्वरुपांत मेळटात.","ख्रिस्तपूर्व २५०० च्या सुमारास विकसित केले गेलेेले, चरकसंहिता आणि सुश्रुतसंहिता हे आज पूर्णतः उपलब्ध असलेले, आयुर्वेदाचे प्रमुख विवेचक ग्रंथ आहेत.","The Charaka Samhita and Sushruta Samhita, developed around 2500 BC, are the main treatises of Ayurveda fully available today.",242,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.लगभग 2500 ईसा पूर्व में लिखी गई चरकसंहिता और सुश्रुतसंहिता, वर्तमान में आयुर्वेद के पूर्ण रूप से उपलब्ध मुख्य आलेख हैं।
Source: ख्रिस्तपूर्व २५०० च्या सुमारास विकसित केले गेलेेले, चरकसंहिता आणि सुश्रुतसंहिता हे आज पूर्णतः उपलब्ध असलेले, आयुर्वेदाचे प्रमुख विवेचक ग्रंथ आहेत.
Translation: <|im_end|>
","://The Charaka Samhita and Sushruta Samhita, written around 2500 BC, are the main texts fully available today, which are the prominent treatises of Ayurveda."
लंबे समय तक शारीरिक व्यायाम के दौरान शरीर को ऊर्जा देते रहने में शरीर के परिसंचारी और श्वसन तंत्र की क्षमता हृद्श्वसन स्थिरता से मापी जाती है।,ह्रदयश्वसनाचें चिवटपण सेगीतपणान केल्ल्या शारिरीक हालचालीं वेळार शरिराचे रक्ताभिसरण आनी श्वसन यंत्रणेक इंधन पावोवपाची क्षमता दाखयता.,"ह्रद-श्वसन सहनशक्तीमध्ये, शरीराच्या अभिसरणी आणि श्वसनविषयक प्रणालींची, सततच्या शारीरिक क्रियेवेळी इंधनपुरवठा करण्याची क्षमता प्रतिबिंबित होते.",Cardio-respiratory endurance reflects the ability of the body's circulatory and respiratory systems to supply fuel during sustained physical activity.,243,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.लंबे समय तक शारीरिक व्यायाम के दौरान शरीर को ऊर्जा देते रहने में शरीर के परिसंचारी और श्वसन तंत्र की क्षमता हृद्श्वसन स्थिरता से मापी जाती है।
Source: ह्रद-श्वसन सहनशक्तीमध्ये, शरीराच्या अभिसरणी आणि श्वसनविषयक प्रणालींची, सततच्या शारीरिक क्रियेवेळी इंधनपुरवठा करण्याची क्षमता प्रतिबिंबित होते.
Translation: <|im_end|>
",_REFLECTS the capacity of the circulatory and respiratory systems of the body to provide energy continuously during physical exercise.
आश्चर्यजनक है कि विश्व स्वास्थ्य संगठन (डब्ल्यू.एच.ओ.) के अनुसार वर्तमान में न केवल 43 करोड़ लोग निर्योग्यकारी श्रवण हानि के साथ जी रहे हैं बल्कि 12 से 35 वर्षीय 100 करोड़ से अधिक लोगों को तेज संगीत के कार्यक्रमों और क्लबों या अपने यंत्रों से तेज संगीत सुनने के कारण श्रवण हानि होने का खतरा है।,"अजापाचें म्हळ्यार, संवसारीक भलायकी संस्थे प्रमाण, 43 कोटी लोकांक आयकूंक येना इतलेंच न्हय जाल्यार 12 ते 35 वर्सां मदल्या 100 कोटी वयर लोकांक संगीत कार्यावळींनी आनी क्लबांनी वा तांच्या यंत्रांचेर मोठो आवाज आयकिल्ल्यान भेड्डे जावपाची भिरांत आसा.","जागतिक आरोग्य संघटनेनुसार (हू), केवळ ४३ कोटी लोकांची श्रवण क्षमता कमकुवत झाली आहे असे नाही, तर १२ ते ३५ वयोगटातील १ अब्जाहून अधिक लोकांना संगीताचे छोटेखानी कार्यक्रम आणि क्लब किंवा त्यांच्याकडील उपकरणांवरील कर्कश्श आवाजांमुळे बहिरे होण्याचा धोका आहे.","Shockingly, according to the World Health Organization (WHO), not only are 430 million people currently living with disabling hearing loss, but more than 1 billion people aged between 12 and 35 years are at risk of hearing loss due to exposure to loud sounds at music gigs and clubs or on their devices.",251,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.आश्चर्यजनक है कि विश्व स्वास्थ्य संगठन (डब्ल्यू.एच.ओ.) के अनुसार वर्तमान में न केवल 43 करोड़ लोग निर्योग्यकारी श्रवण हानि के साथ जी रहे हैं बल्कि 12 से 35 वर्षीय 100 करोड़ से अधिक लोगों को तेज संगीत के कार्यक्रमों और क्लबों या अपने यंत्रों से तेज संगीत सुनने के कारण श्रवण हानि होने का खतरा है।
Source: जागतिक आरोग्य संघटनेनुसार (हू), केवळ ४३ कोटी लोकांची श्रवण क्षमता कमकुवत झाली आहे असे नाही, तर १२ ते ३५ वयोगटातील १ अब्जाहून अधिक लोकांना संगीताचे छोटेखानी कार्यक्रम आणि क्लब किंवा त्यांच्याकडील उपकरणांवरील कर्कश्श आवाजांमुळे बहिरे होण्याचा धोका आहे.
Translation: <|im_end|>
","It is amazing that according to the World Health Organization (WHO), not only 43 crore people are living with hearing loss, but also more than 100 crore people between the ages of 12 to 35 are at risk of hearing loss due to loud music programs and clubs or their devices."
हमें व्यक्तिगत जोखिम को परिभाषित करना चाहिए।,आमी वैयक्तीक धोको स्पश्ट करपाक जाय.,आपण वैयक्तिक जोखीम स्पष्ट केली पाहिजे.,We should define individual risk.,252,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.हमें व्यक्तिगत जोखिम को परिभाषित करना चाहिए।
Source: आपण वैयक्तिक जोखीम स्पष्ट केली पाहिजे.
Translation: <|im_end|>
",://We need to define personal risk.
"हालांकि पूरे राज्यों में गुणवत्ता में अंतर थे, लगभग सभी में बुनियादी संरचना की गुणवत्ता, मानव संसाधनों की उपस्थिति, दवाओं की आपूर्ति, और विवरण-दस्तावेज असंतोषजनक पाए गए थे।","सगळ्या राज्यांनी दर्जो वेगवेगळो आशिल्लोच, पूण सगळेच कडेन, साधन सुविधांचो दर्जो, मानवी संसाधनां, वखदांची पुरवण आनी नोंदी समादानकारी नाशिल्ल्यो.","विविध राज्यांमध्ये गुणवत्ता जरी वेगवेगळी दिसून आली असली, तरी साधनसुविधांची गुणवत्ता, मनुष्यबळाची उपलब्धी, औषधांचा पुरवठा आणि नोंदी, यातील जवळजवळ सर्व असमाधानकारकच असल्याचे आढळले.","While the quality varied across states, in almost all, the quality of infrastructure, presence of human resources, supply of medicines, and records were found to be unsatisfactory.",269,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.हालांकि पूरे राज्यों में गुणवत्ता में अंतर थे, लगभग सभी में बुनियादी संरचना की गुणवत्ता, मानव संसाधनों की उपस्थिति, दवाओं की आपूर्ति, और विवरण-दस्तावेज असंतोषजनक पाए गए थे।
Source: विविध राज्यांमध्ये गुणवत्ता जरी वेगवेगळी दिसून आली असली, तरी साधनसुविधांची गुणवत्ता, मनुष्यबळाची उपलब्धी, औषधांचा पुरवठा आणि नोंदी, यातील जवळजवळ सर्व असमाधानकारकच असल्याचे आढळले.
Translation: <|im_end|>
","_REF Although the quality varied across the states, the quality of infrastructure, availability of human resources, supply of medicines, and documentation were found to be unsatisfactory in almost all._"
"स्वास्थ्य रिपोर्ट किस प्रकार बनाई जाए, इसका कोई सामान्य खाका नहीं होता है।",भलायकी अहवाल कसो तयार करचो हाचे खातीर व्यापक ब्लू प्रिंट ना.,"आरोग्याचा अहवाल कसा तयार करावा, याची कोणतीही जातिगत नीलप्रत नाही.",There is no generic blueprint for how to make a health report.,270,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.स्वास्थ्य रिपोर्ट किस प्रकार बनाई जाए, इसका कोई सामान्य खाका नहीं होता है।
Source: आरोग्याचा अहवाल कसा तयार करावा, याची कोणतीही जातिगत नीलप्रत नाही.
Translation: <|im_end|>
","://How to create a health report, there is no common format for this."
चिकित्सा अधिकारी मुझे दोबारा अपने पास आने नहीं दे रहे थे और बल्कि एक इंस्पेक्टर को मेरे पास भेजने पर ज़ोर दे रहे थे।,वैजकी अधिकारी म्हाका ताचे म्हऱ्यांत वचपाक दिना जालो आनी उरफाटें म्हजे म्हऱ्यांतच एका निरीक्षकाक धाडून दिता म्हूण बसलो.,वैद्यकीय अधिकाऱ्याने मला त्याच्याकडे पुन्हा जाऊ दिले नाही आणि माझ्याऐवजी एका निरीक्षकाला पाठवण्याचा आग्रह धरला.,The Medical Officer would not let me go to him again and insisted on sending an inspector to me instead.,273,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.चिकित्सा अधिकारी मुझे दोबारा अपने पास आने नहीं दे रहे थे और बल्कि एक इंस्पेक्टर को मेरे पास भेजने पर ज़ोर दे रहे थे।
Source: वैद्यकीय अधिकाऱ्याने मला त्याच्याकडे पुन्हा जाऊ दिले नाही आणि माझ्याऐवजी एका निरीक्षकाला पाठवण्याचा आग्रह धरला.
Translation: <|im_end|>
",://The medical officer was not allowing me to go back to him and was insisting on sending an inspector to me.
"डब्ल्यू.एच.ओ. का यह उत्तरदायित्व है कि कार्य-स्थल में या कार्य के सिलसिले में भेद-भाव, अधिकार का दुरुपयोग, और यौन-उत्पीड़न सहित उत्पीड़न (सामूहिक रूप से जिसे अपमानजनक आचरण कहा जाता है) को रोकने और उसका जवाब देने की दिशा में सभी उचित कदम उठाए।","कामाचे सुवातेर वा कामाच्या संबंदान भेदभाव, सत्तेचो दुरूपेग आनी छळ, धरून लैंगीक छळ (एकत्रीतपणान हाका मानहानी करपी वागणूक म्हणूं येता) हाचेर योग्य ती सगळीं पावलां उबारपाची आनी प्रतिसाद दिवपाचाी जबाबदारी डब्ल्यू.एच.ओ.चेर आसा.","कामाच्या ठिकाणी किंवा कामाच्या संदर्भात होणाऱ्या लैंगिक शोषणासह (ज्याला एकत्रितपणे गैरवर्तन संबोधले जाते) भेदभाव, अधिकारांचा दुरुपयोग आणि छळ रोखण्यासाठी आणि त्याला प्रतिसाद देण्यासाठी सर्वतोपरी योग्य ती पावले उचलणे, ही डब्ल्यू. एच. ओ. ची जबाबदारी आहे.","WHO has a responsibility to take all appropriate steps to prevent and respond to discrimination, abuse of authority, and harassment, including sexual harassment (collectively referred to as abusive conduct) in the workplace or in connection with work.",276,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.डब्ल्यू.एच.ओ. का यह उत्तरदायित्व है कि कार्य-स्थल में या कार्य के सिलसिले में भेद-भाव, अधिकार का दुरुपयोग, और यौन-उत्पीड़न सहित उत्पीड़न (सामूहिक रूप से जिसे अपमानजनक आचरण कहा जाता है) को रोकने और उसका जवाब देने की दिशा में सभी उचित कदम उठाए।
Source: कामाच्या ठिकाणी किंवा कामाच्या संदर्भात होणाऱ्या लैंगिक शोषणासह (ज्याला एकत्रितपणे गैरवर्तन संबोधले जाते) भेदभाव, अधिकारांचा दुरुपयोग आणि छळ रोखण्यासाठी आणि त्याला प्रतिसाद देण्यासाठी सर्वतोपरी योग्य ती पावले उचलणे, ही डब्ल्यू. एच. ओ. ची जबाबदारी आहे.
Translation: <|im_end|>
","It is the responsibility of WHO to take all necessary steps in the direction of preventing and responding to harassment, abuse of authority, and sexual harassment (collectively referred to as demeaning behavior) at the workplace or in the course of work."
विकास और पर्यावरण संरक्षण की डी.ई.ई.पी. आधुनिक चूल्हा सोसाइटी (डी.ई.ई.पी.) ने आधुनिक डी.ई.ई.पी. चूल्हा विकसित किया है जिसमें लकड़ी की खपत को 50% से कम करने के लिए जैव ईंधन का उपयोग किया जाता है।,जैव इंधन वापरून लाकडाचो उपेग 50% उणो करपाच्यो दीप रांदनी 'दीप' मॉडर्न चुल्हा सोसायटी ऑफ डॅव्हलपमेंट अँड एन्वायरमेंट प्रॉटॅक्शन (डी.ई.ई.पी.) हांणी तयार केल्यात.,"'दीप मॉडर्न चुल्हा सोसायटी ऑफ डेव्हलपमेंट अँड एनव्हायरनमेंट प्रोटेक्शन'ने (दीप) आधुनिक 'दीप' चुली विकसित केलेल्या आहेत, ज्यात सरपणाचा वापर ५०% कमी करण्यासाठी, जीवभाराचा वापर होतो.",DEEP Modern Chulha Society of Development and Environment Protection (DEEP) developed the Modern DEEP Chulha that uses biomass to reduce the consumption of wood by 50%.,288,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.विकास और पर्यावरण संरक्षण की डी.ई.ई.पी. आधुनिक चूल्हा सोसाइटी (डी.ई.ई.पी.) ने आधुनिक डी.ई.ई.पी. चूल्हा विकसित किया है जिसमें लकड़ी की खपत को 50% से कम करने के लिए जैव ईंधन का उपयोग किया जाता है।
Source: 'दीप मॉडर्न चुल्हा सोसायटी ऑफ डेव्हलपमेंट अँड एनव्हायरनमेंट प्रोटेक्शन'ने (दीप) आधुनिक 'दीप' चुली विकसित केलेल्या आहेत, ज्यात सरपणाचा वापर ५०% कमी करण्यासाठी, जीवभाराचा वापर होतो.
Translation: <|im_end|>
",:// Development and Environment Protection (DEEP Society) has developed a modern DEEP stove in which the use of biofuel is used to reduce the consumption of wood by 50% or more.
जर्सी गाय के दूध में 5 प्रतिशत वसा की मात्रा होती है जबकि हॉल्स्टीन-फ्रीज़ियन गाय के दूध में 3.5 प्रतिशत वसा होती है।,"जर्सी गांयो दितात त्या दुदांत 5 टक्के चरबी आसता, जाल्यार होल्स्टीन-फ्रेजन गायो दितात त्या दुदांत 3.5 टक्के चरबी आसता.","जर्सी गायी सुमारे ५ टक्के मेदांश असलेले दूध देतात, तर होल्स्टीन - फ्रिशियनच्या दुधातील मेदांश सुमारे ३.५ टक्के असतो.","Jersey cows produce milk having about 5 percent fat content, while the milk of Holstein-Friesian contains about 3.5 percent fat.",295,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.जर्सी गाय के दूध में 5 प्रतिशत वसा की मात्रा होती है जबकि हॉल्स्टीन-फ्रीज़ियन गाय के दूध में 3.5 प्रतिशत वसा होती है।
Source: जर्सी गायी सुमारे ५ टक्के मेदांश असलेले दूध देतात, तर होल्स्टीन - फ्रिशियनच्या दुधातील मेदांश सुमारे ३.५ टक्के असतो.
Translation: <|im_end|>
","://In Jersey cow's milk, the fat content is 5 percent, while in Holstein-Friesian cow's milk, it is 3.5 percent."
"कृषि के तहत ज़्यादा भूमि रख कर (क्षैतिज दृष्टिकोण) और बेहतर फसल प्रबंधन तकनीकों, जैसे कि उच्च-पैदावार निविष्टि-प्रतिक्रियाशील, ऊर्जा-गहन, तनाव-सहिष्णु विविधताएँ, बढ़ी हुई सिंचाई, समन्वित फसल पोषण और सुरक्षा, (कार्यक्षेत्र दृष्टिकोण) का प्रयोग करके, फसल उत्पादन को काफी हद तक बढ़ाया जा सकता है।","सुबेज जमीन कसोवन (आडवो दिश्टिकोण) आनी बिंयाक-प्रतिसाद दिवपी चड पिकावळीचे, खर-उत्पादनक्षमतेचे, आनी ताण घेवपाची तांक आशिल्ले प्रकार वापरून, शिंपणावळ वाडोवन, पिकाचें पोशण आनी राखण वांगडाच करून पीक वाडोवपाचें वेवस्थापन (उबो दिश्टिकोण) केल्यार पिकावळ कितलिशीच वाडोवपाक जाता.","अतिरिक्त भूमी लागवडीखाली आणून (क्षैतिज दृष्टिकोन) आणि सर्वाधिक उत्पन्नासह आदानाला प्रतिसादकारक, ऊर्जावान आणि तणावसोशिक प्रकार, आणि वाढीव जलसिंचन व एकात्मिक पीक पोषण आणि संरक्षण, यासारखी पीक व्यवस्थापनाची सुधारित तंत्रे वापरून (ऊर्ध्व दृष्टिकोन) पीक उत्पन्नात लक्षणीय वाढ शक्य आहे.","A substantial increase in crop production is possible by bringing additional land under cultivation (horizontal approach) and improved crop management (vertical approach) technologies such as the use of high-yielding input-responsive, energy-intensive, and stress-tolerant varieties, increased irrigation, and integrated crop nutrition and protection.",308,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.कृषि के तहत ज़्यादा भूमि रख कर (क्षैतिज दृष्टिकोण) और बेहतर फसल प्रबंधन तकनीकों, जैसे कि उच्च-पैदावार निविष्टि-प्रतिक्रियाशील, ऊर्जा-गहन, तनाव-सहिष्णु विविधताएँ, बढ़ी हुई सिंचाई, समन्वित फसल पोषण और सुरक्षा, (कार्यक्षेत्र दृष्टिकोण) का प्रयोग करके, फसल उत्पादन को काफी हद तक बढ़ाया जा सकता है।
Source: अतिरिक्त भूमी लागवडीखाली आणून (क्षैतिज दृष्टिकोन) आणि सर्वाधिक उत्पन्नासह आदानाला प्रतिसादकारक, ऊर्जावान आणि तणावसोशिक प्रकार, आणि वाढीव जलसिंचन व एकात्मिक पीक पोषण आणि संरक्षण, यासारखी पीक व्यवस्थापनाची सुधारित तंत्रे वापरून (ऊर्ध्व दृष्टिकोन) पीक उत्पन्नात लक्षणीय वाढ शक्य आहे.
Translation: <|im_end|>
","Under the umbrella of agriculture, by keeping more land (horizontal perspective) and better crop management techniques, such as high-yielding, input-responsive, energy-intensive, stress-tolerant varieties, increased irrigation, integrated crop nutrition and protection (field perspective), crop production can be significantly increased."
चिनाई के काम में प्रयोग में लाने से पहले ईंटों की मजबूती और टिकाऊपन के लिए जाँच की जानी चाहिए।,गंवडेकामा खातीर वापरचे पयलीं चिऱ्यांची घटसाण आनी तिगाव तपासून पळोवंक जाय.,गवंडीकामात वापरण्यापूर्वी विटांची मजबुती आणि टिकाऊपणा यासाठी चाचणी केली गेली पाहिजे.,Bricks should be tested for hardness and durability before they are used in masonry.,313,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.चिनाई के काम में प्रयोग में लाने से पहले ईंटों की मजबूती और टिकाऊपन के लिए जाँच की जानी चाहिए।
Source: गवंडीकामात वापरण्यापूर्वी विटांची मजबुती आणि टिकाऊपणा यासाठी चाचणी केली गेली पाहिजे.
Translation: <|im_end|>
","://Before using bricks in construction work, their strength and durability should be tested."
भारतीय सरकार और अन्य हितधारकों द्वारा की गई सक्रिय पहलों के कारण आयुर्वेद की पहुंच फैली है और साथ ही व्यापक रूप से उपभोक्ताओं ने इसे स्वीकार किया है।,"भारत सरकार आनी हेर भागधारकांनी घेतिल्ल्या क्रियाशील फुडारपणाक लागून, आयुर्वेदाचो विस्तार जावन ताका मोठ्या प्रमाणांत गिरायकांची मान्यताय मेळ्ळ्या.","भारत सरकारने आणि इतर संबंधितांनी घेतलेल्या सक्रिय पुढाकारामुळे, व्यापक ग्राहक स्वीकृतीबरोबरच, आयुर्वेदाचा आवाका विस्तारला आहे.","Due to the active initiatives taken up by the Government of India and other stakeholders, the reach of Ayurveda has expanded along with widespread consumer acceptance.",315,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.भारतीय सरकार और अन्य हितधारकों द्वारा की गई सक्रिय पहलों के कारण आयुर्वेद की पहुंच फैली है और साथ ही व्यापक रूप से उपभोक्ताओं ने इसे स्वीकार किया है।
Source: भारत सरकारने आणि इतर संबंधितांनी घेतलेल्या सक्रिय पुढाकारामुळे, व्यापक ग्राहक स्वीकृतीबरोबरच, आयुर्वेदाचा आवाका विस्तारला आहे.
Translation: <|im_end|>
",":// Due to the active initiatives taken by the Indian government and other stakeholders, Ayurveda has expanded its reach and has been widely accepted by consumers."
"उसने बी.बी.एल.आई.एल. के साथ एक समझौता किया जिसकी अवधि 21 मार्च, 1997 में समाप्त हो गई।",तांणी बी.बी.एल.आय.एल. वांगडा 21 मार्च 1997 मेरेन करार केला.,"त्यांनी बी. बी. एल. आय. एल. सह, २१ मार्च १९९७ रोजी संपणाऱ्या कालावधीसाठी एक करार केला आहे.","It has entered into an agreement with BBLIL for a period ending on March 21, 1997.",330,"<|begin_of_text|><|im_start|>user
Translate the following source text from Hin to Gom. Only return the Gom translation and nothing else.उसने बी.बी.एल.आई.एल. के साथ एक समझौता किया जिसकी अवधि 21 मार्च, 1997 में समाप्त हो गई।
Source: त्यांनी बी. बी. एल. आय. एल. सह, २१ मार्च १९९७ रोजी संपणाऱ्या कालावधीसाठी एक करार केला आहे.
Translation: <|im_end|>
","://He entered into an agreement with B.B.L.I.L. which expired on 21st March, 1997."
