eg,en,jo,msa,pa,sy,tn,prompt,response
عارفه إيه اللى غايظنى أكتر ؟,you know what pisses me the most?,عارفة شو اكتر اشي غايظني,هل تعرف ماذا يضايقنى كثيرا ؟؟,بتعرفي شو اكثر اشي غايظني ؟,بتعرف شو أكتر شي غايظني ؟,تعرف شنوى اللي غايظني أكثر ؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هل تعرف ماذا يضايقنى كثيرا ؟؟
Source: you know what pisses me the most?
Translation: <|im_end|>
","
أنت تعرف ما الذي يزعجني كثيرا؟"
و من نظرة الشباب الى واخدين الموضوع مجرد تسليه لا غير,and from the point of view of boys who take the subject as just a waste of time not something else,ومن نظرة الشباب الي ميخذين الموضوع بس تسلاية,ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .,ومن وجهة نظر الشباب اللي معتبرين الموضوع بس تسليه,ومن نظرة الشباب الي أخدين الموضع مجرد تسلية مو أكتر,وحسب الشباب الموضوع مضيعة للوقت و اكهو,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ومن  نظره هؤلاء الشباب الذين ينظرون الى الامر على انه مجرد تسلية .
Source: and from the point of view of boys who take the subject as just a waste of time not something else
Translation: <|im_end|>
","
இந்த விஷயத்தை காணும் இந்த பெரியர் எந்த விஷயமாக கருதுகின்றனர் அல்லது அதிகபட்சியான ஒன்று மட்டுமே அல்லது வேறுபட்சியான ஒன்று அல்ல."
ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,possible you return to many books and read judgments of every sheikh in explanation,ممكن انك ترجع لكثير كتب وترأ اجتهاد كل شيخ بالتفسير,من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير,بتقدر ترجع لكتب التفسير وهي كثيره وتقرأ اجتهاد كل شيخ,ممكن ترجع لكتب كتير وتقرا اجتهاد كل شيخ في التفسير,تنجم ترجع لبرشا كتب و تقرا اجتهاد كل شيخ في التفسير,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.من الممكن أن ترجع الى كتب كثيرة و تقرأ إجتهاد كل شيخ فى التفسير
Source: possible you return to many books and read judgments of every sheikh in explanation
Translation: <|im_end|>
","
முடியக் கடிகார பல நூல்களுக்கு திரும்பி அவற்றில் ஒவ்வொரு இயக்கத்தின் அந்தந்த சீக்காவின் அல்லாஹ்வின் விளக்கத்தை படிக்கலாம்."
اه اكيد طبعاا علااء كان احق بس لو انت متااابع كورة كنت عرفت انه مصااب واصا بة شديدة هيقعد شهر واكيد مستوااه هيقل يااكابتن,oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease,اه اكيد علاء كان احق بس لو متابع الكرة كنت عرفت انو مصاب اصابة قوية ورح يقعد شهر واكيد رح يقل مستواه,اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه,اه اكيد علاء احق منه بس لو انت متابع اخبار كرة القدم لكان عرفت انو علاء اتصاوب وبدو شهر تيرجع وكمان في هالشهر رح يقل مستواه يا كابتن,اي أكيد طبعا علاء كان أحق بس لو أنت متابع طابة كنت عرفت أنه مصاب وأصابة قوية كتير ورح يقعد شهر واكيد مستواه رح ينزل يا كابتن,بالطبيعة علاء يستحق كان جيت اتبع الكورة راك عرفت اللي هو مضروب وضربيو خطيرة ماهوش باش يلعب شهر واكيد مستواه باش يطيح يا كبتن,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.اوه أكيد علاء يستحق هذا ولكن إذا كنت من مشجعي كرة القدم كنت ستعلم أنه قد جرح بشدة وسيجلس لمدة شهر ولذلك سوف ينخفض مستواه
Source: oh sure Ala' deserved it but if you're a football fan you'd have known that he's strongly wounded and will sit for a month and his level will sure decrease
Translation: <|im_end|>
","أوه, علاء بلا شك يستحق ذلك، لكن إذا كنت مشجعًا لكرة القدم، كنت تعلم أنه قد جرح بشدة وسيتعلم لمدة شهر، وبالتالي سيخفض مستواه."
على وشك بس لما عبقري زيي يقف قدام حيوان زيك,"on your face, but when a genius like me stand in a front of an animal like you","تقريبا , بس لما عبقري زيي يوقف قدام حيوان زيك",قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك,على وشك بس يوم ذكي زيي يقف قدام غبي زيك,على وشك بس لما فهيم متلي بيوقف قدام حيوان متلك,كيفاش واحد عبقري كيفي يقف قدام حيوان كيفك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.قد قاربت و لكن عندما يكون عبقرى مثلى يقف امام وغد مثلك
Source: on your face, but when a genius like me stand in a front of an animal like you
Translation: <|im_end|>
","
நீங்காவது முகத்தில், என்னுடைய அறிவியல் போன்ற ஒரு அறிவாளி நீங்கள் போன்ற ஒரு விலங்கினால் முன்னில் நின்றால்"
وتحكيلها حاجات كتير عنك مشاكلك همومك,and tell her  a lot of things about your worrying and problems,واحكيلها كل اشي عن مشاكلك وهمومك,و تخبرها عن العديد من مشاكلك و همومك,وتشكيلها همومك وتقولها شغلات كتيره عنك,وتحكيلها شغلات كتير عنك وعن مشاكلك وهمومك,وتحكيلها برشا حاجات عليك مشاكلك همومك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و تخبرها عن العديد من مشاكلك و همومك
Source: and tell her  a lot of things about your worrying and problems
Translation: <|im_end|>
",://அவருக்கு உங்கள் அந்த அளவில் போர்க்கும் பிரச்சினைகள் மற்றும் விசாரங்கள் பற்றி பல விவரங்களை சொல்லுங்க.
بوص يااخى الفاضل الغلاء ليس فى الحمه,"look my great brother, the expensive not in the Hama",شوف الغلاء مش في الحمة,انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .,شوف يااخي الكريم مش بس اللحمه غاليه كل شي غلي,شوف يا أخوي الغلا مو بس باللحمة,شوف يا خويا الغلا موش من السخانة,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.انظر  ايها  الاخ  الفاضل  الغلاء ليس  فى  اللحوم .
Source: look my great brother, the expensive not in the Hama
Translation: <|im_end|>
","
انظري يا اخي الفاضل الغالي لا يوجد في لحم."
وليه تسكتي للزمن اتكلمي,"and why would you stay silent for time, talk",وليش لتسكتي احكي الي بدك اياه,و لما الصمت لهذا الزمن تكلمى,ليش بتسكتى على حقك احكي,وليش تسكتي للزمن أحكي .,علاش تسكت للوقت تكلم,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لما الصمت لهذا الزمن تكلمى
Source: and why would you stay silent for time, talk
Translation: <|im_end|>
","
ولما الصمت لهذا الزمن تكلمى"
صدقنى ياباشا لو إتنازلت عن حقى مرة هاتتنازل كتير,Believe me man if I gave up on my right once I will give many times,صدقني لو تنازلت مرة رح اتنازل كتير,صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً,صدقني لو اتنازلت عن حقوقي مره رح اتنازل مرات غيرها,صدقني يا أخ لو إتنازلت عن حقي مرة رح أتنازل على طول,صدقني يا باشا كان إتنازلت على حقي مرة بش نتنازل برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.صدقنى يا سيدى إذا تنازلت عن حقى لمرة سأتنازل كثيراً
Source: Believe me man if I gave up on my right once I will give many times
Translation: <|im_end|>
","
நம்பிக்கையாக, நீங்கள் எனது உரிமையை ஒரு முறை விட்டுச்செல்லும் என்றால், பல முறைகள் விட்டுச்செல்லுவேன்."
وكمان المراه واحدث الازياء,"and also the woman, the latest fashion",وكمان المراة واجدد الازياء,ايضا ً المرأة و أحدث الأزياء,وكمان المرأه واحدث الازياء,وكمان المرأة واجدد الملابس,و زادة المراة و احدث الازياء,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ايضا ً المرأة و أحدث الأزياء
Source: and also the woman, the latest fashion
Translation: <|im_end|>
","://மாறாவின்று மனிதன், அன்றாட அணிந்துள்ள இணையான ஆடைகள்"
ولا عاوزه عسل منك سلام علا الفولى,"in a don't want honey from you, greetings, ""ALA FOULI""","ما بدي منك عسل , سلام , علا الفولي","و لا أريد عسل منك تحياتى ""علاء الفولى""",وما بدي منك عسل سلام علا الفولى,وما بدو عسل منك سلام على الفول,ما نحبش العسل من عندك سلم على الفولي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.و لا أريد عسل منك تحياتى ""علاء الفولى""
Source: in a don't want honey from you, greetings, ""ALA FOULI""
Translation: <|im_end|>
","
அலா போலி அவரிடம் நான் ஆருமேன் என்று அவரிடம் அனுப்பின நல்வாக்கம்"
يا بنى الدكاترة دول فى ملكوت لوحدهم مش بس فى كده لأ فى التصحيح وفى المكرر والملغى والتأخير وحاجات كتير قوى,"my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things",يا حبيبي هدول الدكاترة عايشين بدنبا لحالهم مش بس هيك لا و بالتصحيح وفي المكرر والملغي والتاخير وكل اشي,يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...,يا ابني الدكاتره في عالم لحالهم مش بس في هيك كمان في التصليح وفي المكرر والملغى والتأخير وشغلات كثير,يا أبن الدكاترة هدول في ملكوت لوحدهم مو بس في هيك لأفي التصحيح وفي المكرر والملغي والتأخير شغلات كتير كتير,يا ولدي الدكاترة هاذم في كوكب وحدهم مش بتصحيح وإلغاء وتوخير بركة في برشة حاجات أخرى,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يا  ابنى  هؤلاء  الدكاتره   يعيشون  فى  ملكوتهم الخاص .وليس  هذا  كل  شئ .و لكن  فى  عمليه  التصحيح  والمكرر والتأخير  واشياء  كثيره  مثل  ذلك  ...
Source: my son these doctors are living in their world alone, there is a correction for the repeated, deleted, late and many other things
Translation: <|im_end|>
","என் மகனே, இந்த மருத்துவர்கள் தங்களுடைய உலகத்தில் ஒருவருமாக வாழ்கின்றனர், மீண்டும், திரும்பி, அடுத்தாக மற்றும் பல பிற செயல்களுக்கு ஒரு சீராக்கம் உள்ளது..."
اما بعد,and then,وبعد هيك,أما بعد,اما بعد,وبعدين,اما بعد,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.أما بعد
Source: and then
Translation: <|im_end|>
","://
பிறக்கும்"
لازم منكش سلبيين على طول الخط وضربينها طبنجه,we shouldn't be negative all the times,لازم ما كنا سلبيين طول الوقت,لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .,مش لازم نكون سلبيين دايما وضاربينها بعرض الحيط,لازم ما نكون سلبين على طول ونضربها بسكينة,لازم مانكنوش سلبيين برشة و ديما,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لا  يجب ان نكون  بهذه  السلبيه  على  طول  الدوام .
Source: we shouldn't be negative all the times
Translation: <|im_end|>
",://நாம் அனைவது நேரங்களிலும் எதிர்க்கும் இல்லையாக இருக்க வேண்டாம்.
حتي لا يخسرك بسبب ذلك,So that he won't lose you over it.,مشان ما يخسرك بسبب هداك الاشي,حتي لا يخسرك بسبب ذلك,حتى ما يخسرك لهالسبب,حتى لا يخسرك بسبب هالشي,باش ما يخسركش بسبب ذلك,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.حتي لا يخسرك بسبب ذلك
Source: So that he won't lose you over it.
Translation: <|im_end|>
","
حتى لا يخسرك بسبب ذلك"
ولوعه وأسى ... ومش أى حد بيقدر يكتمه ...,"Even if it on my head, not everyone can keep it down.",ولوعة وحزن ... مش اي حد بقدر يخبيه,لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....,ولوعه وحزن ..ومش اي حدا بقدر يكتمه..,وشوق وأسى .... ومو أي حدا بيقدر يخبيه .....,ولوعه وأسى ... وموش أي واحد ينجم يخبيه ...,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.لوعه وأسى ... ولا يوجد احد يستطيع أن يكتمه ....
Source: Even if it on my head, not everyone can keep it down.
Translation: <|im_end|>
","
لوعه وأسى... ولا يوجد احد يستطيع أن يكتمه..."
بس ياريت يا جماعة الردود متنكنش بس مشجعة كمان تكون ردود تحتوي على اضافه جديدة او معلومة جديدة متعلقة بالموضوع,"but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject",يا جماعة ما تخلو الردود بس مشجعة خلوها كمان اضافة جديدة ومتعلقة بالموضوع,برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع,يا ريت الردود ما تكون بس تشجيع بتمنى تكون تحتوي على اضافه او معلومه مهمه متعلقة بالموضوع,بس ياربت يا جماعة الردود ما تكون بس مشجعة وكويسه وتكون كمان ردود فيها أضافة جديد أو معلومة جديدة متعلقة بالموضوع .,اما ياريت يا جماعة الردود ماتكونش مشجعة اكهو لازم تكون زادة ردود فيهااضافة جديدة او معلومة جديدة متعلقة بالموضوع,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.برجاء من الجميع أن تكون المشاركات ليست فقط مشجعة بل أيضاً تحتوى على إضافة جديدة أو معلومة جديدة متعلقة بالموضوع
Source: but I wish people that the replies are not only encouraging, but also the replies will contain new addition or new information related to the subject
Translation: <|im_end|>
","போர் அனைவரும் அனுமானமான பதில்கள் அனைத்தும் அனுமானமானவையாக இருக்கும் என்றும், அதில் புதிய அடிக்குறைப்பு அல்லது புதிய தகவல் இணைக்கப்பட்டிருக்கும் என்றும் கேட்டுக்கொள்வன."
ربنا ينصر الاسلام والمسلمين جزاكم الله كل خير,god help the Muslims and Islam,"الله ينصر الاسلام والمسلمين , الله يجزيكم كل خير",ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير,الله ينصر الاسلام والمسلمين الله يعطيكو العافيه,الله ينصر الأسلام والمسلمين يارب الله يجزيكم كل خير,ربي ينصر الاسلام و المسليمين جزاكم الله كل خير,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ربنا ينصر الإسلام والمسلمين جزاكم الله كل خير
Source: god help the Muslims and Islam
Translation: <|im_end|>
",://நமது இஸ்லாம் மற்றும் முஸ்லிம்களை நம் அல்லாஹ் அனைத்து நன்மையுடன் அவர்களை அழைத்துக்கொள்.
الصراحة هو بيفكرنى بالاسطورة البرازيلى بيليه .,"actually he reminds me about the Brazilian legend ""Beleeh"" .",الصراحة هو بذكرني بالاسطورة البرازيلي بيليه,بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه,بصراحة هو بذكرني بالسطوره البرازيلي بيليه,الصراحة هو بيذكرني  بالأسطورة البرازيلية,بصراحة إفكرني ببيلي الاسطورة البرازيلي,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.بكل صراحه انه يذكرنى بالاسطوره البرازيلى بيليه
Source: actually he reminds me about the Brazilian legend ""Beleeh"" .
Translation: <|im_end|>
","://நேர்நிலையில் அவர் பிரேசில் அதிசட்டிகளின் ""பெலேலி"" குறித்து என்னை நினைவுக்கு கொள்ளும்."
يعنى بيغتصب جسم المرأه كله,that is rapping the entire body of woman,يعني بغتصب كل جسم المرأة,يغتصب جسم المرأه كله,يعني بغتصب كل جسم المرأه,يعني بيغتصب جسم المرأة كلو,يعني يغتصب بدن لمراء الكل,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.يغتصب جسم المرأه كله
Source: that is rapping the entire body of woman
Translation: <|im_end|>
",://அன்றோர் மகளிர் முழு உடல் மீது மோசமான வார்த்துகின்றனர்
هبهههوب,Habhoob.,هبهووووب,هبهههوب,هيهههوب,هبههههههههههههههههههههههوب,هبهههوب,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.هبهههوب
Source: Habhoob.
Translation: <|im_end|>
","
حبهوب"
كمبيوتر ؟,Computer?,كمبيوتر ؟,كمبيوتر ؟,كمبيوتر؟,كمبيوتر ؟,ارديناتور؟,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.كمبيوتر ؟
Source: Computer?
Translation: <|im_end|>
","
கணினி?"
يا ترى اكتر حاجه ديقتك واثرت على حياتك وي ا,I`m wondering what's the most thing that bothered you and affected your life,شو اكتر اشي دايقك واثر على حياتك,ما هو أكثر شئ يؤلمك وأثر على حياتك ؟,شو اكثر حاجه ذايقتك واثرت على حياتك ؟,يا ترى شو أكتر شي دايقك واثر في حياتك كتير,زعمة شنوى اكثر حاجة قلقتك و اثرتلك على حيلتك برشا,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.ما هو أكثر شئ يؤلمك وأثر على حياتك ؟
Source: I`m wondering what's the most thing that bothered you and affected your life
Translation: <|im_end|>
","
நீங்கள் அனைவரும் என்ன மிகவும் அவர்களையும் வருந்தியது மற்றும் உயரிய வாழ்வில் பாதித்தது?"
السيد دأنا مكتف الولية وحارمها من الخروج ولبس الفساتين وماسك العيال عمال أحفظ فيهم أسماء الصحابة والأحاديث لمّا ريقي نشف .,Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry,السيد انا مربط المرا وحارمها من الطلعة ولبس الفساتين وماسك الولاد بحفظ فيهم اسماء الصحابة والاحاديث لحتى نشف ريقي,السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .,السيد ما انا مكتف مرتي ومانعها من الطلعه ولبس الفساتين وبحفظ في اولادي اسماء الصحابه تمنه نشف ريقي,السيد أنا مكتف المرأة وحارمها من الطلعة من البيت ولبس الروب وماسك الولاد وعم أحفظهم أسماء الصحابة والأحاديث لحتى ريقي نشف,راني شاد عليها العسة ومانخليهاش تخرج وقاعد نحفض في ولادي في أسماء الصحابة والأحاديث حتى ريقي شاح.,"<|begin_of_text|><|im_start|>user
Translate the following source text from Msa to Tn. Only return the Tn translation and nothing else.السيد انا كثيرا  ما اضيق الخناق  على  زوجتى  واحرمها  من  الخروج  وارتداء  الفساتين . وكل  همى  هو ان احفظ اطفالى  اسماء الصحابه  والاحاديث .
Source: Mr I am holding the lady and depriving her form getting out and wearing dresses and holding the kids to get them learn the name of the prophets and the talks till my throat was dry
Translation: <|im_end|>
",ஸர் நான் எனது மனைவியின் மீது அடிக்குறைப்பேன் மற்றும் அவருக்கு வெளியே செல்ல அனுமதி செய்வேன் மற்றும் ஆடைகளை அணிய அனுமதி செய்வேன். எனது குழந்தைகளை அந்த நபிகளின் பெயர்களையும் உரைகளையும் கற்று வருவதற்கு என் குழந்தைகளை அலோத்து வருகிறேன்.
